model,mse,mae,cal,z
svgp,4.090139565258932,1.4318213061165725,0.9801324605941772,-0.0004532758819776725
rff_rbf,7.146187671284632,1.7825339872053216,0.5629138946533203,-3.548443086776824e-05
rff,5.123607340144344,1.5434325852161555,0.7814569473266602,-0.002821793450426136
qrff,6.313063929578901,1.441107499054298,0.8476821184158325,-0.002673899943214147
srf,5.9295049979488414,1.746456691899005,0.29139071702957153,0.0036569604398482805
mix,2.161823440350503,0.9991662357691655,0.7947019934654236,-0.0008435059015330143
svgp,7.710436812187139,1.7858333888421012,0.9271523356437683,0.0011973550445978033
rff_rbf,17.95935336050025,3.047730160514775,0.34437087178230286,0.0030809702889797513
rff,5.839296181244732,1.5729004660701875,0.7748344540596008,0.0008154364190191624
qrff,4.510900133712116,1.395253880603034,0.8476821184158325,-0.00011477852463420058
srf,4.3538328443733425,1.2998189187635418,0.37748345732688904,0.0005523443280174256
mix,3.4539817323917434,1.2595530374241333,0.7748344540596008,-0.00020507830223801286
svgp,5.018632344078814,1.6916638079078687,0.9536423683166504,-0.002154748841692598
rff_rbf,5.060132909733897,1.6781226830252898,0.5761589407920837,-0.0015637971595405375
rff,11.400040261520768,1.755589444524619,0.7748344540596008,-0.0034174837097209203
qrff,3.8847506027792806,1.3070295382360697,0.8278145790100098,-0.0019407218952877832
srf,7.7178703345215975,2.1281982114797997,0.16556291282176971,-0.00423716148840098
mix,2.1416065473887813,1.0143288116163263,0.807947039604187,-0.000569702112037955
svgp,5.701711000108759,1.7208201370402745,0.9536423683166504,0.0005311777068454288
rff_rbf,12.033193455203753,2.503141538683902,0.4039735198020935,0.00037360835863798546
rff,4.5459798696604805,1.3555325637123656,0.8013244867324829,0.00046969328332632787
qrff,5.136014823622697,1.4865021154925018,0.8013244867324829,-0.0039025785135835987
srf,6.678306024609988,1.8241881494115428,0.2384105920791626,0.00043708549787934505
mix,2.5166349218992092,1.0278386482757247,0.8211920261383057,0.0012315521701855455
svgp,5.547984614269287,1.6893297956125306,0.9735099077224731,0.0005749475529402407
rff_rbf,7.075817951007221,1.8908927065730976,0.5364238619804382,0.0024026297437785473
rff,4.8374426925895415,1.321351853056135,0.8675496578216553,0.00013344659309749073
qrff,6.17558362714781,1.6447207980755503,0.7947019934654236,0.001931583330684499
srf,3.417136754024931,1.26924793506368,0.3112582862377167,0.0005696912554796214
mix,2.1259626183166827,0.9383173555714014,0.8344370722770691,0.0005770579047942071
svgp,5.106910809926337,1.5742716038436442,0.9536423683166504,0.0027835363670139957
rff_rbf,15.368012397732484,2.7880142478470478,0.37748345732688904,0.0023993358009058124
rff,3.732610090009255,1.2804172402556373,0.8410596251487732,-0.00013302008999678717
qrff,7.158350783268903,1.6972465559082544,0.7880794405937195,-1.6253999640593916e-05
srf,4.815389242612549,1.3435997803073876,0.3708609342575073,-0.0009290157981095795
mix,2.06504135489619,0.9942904754705607,0.7814569473266602,0.0009137760545890695
svgp,5.266027787892101,1.6925165550129873,0.9668874144554138,-0.0022629673934840312
rff_rbf,9.330035170346653,2.3468613395738775,0.41721853613853455,-0.00048278515669303925
rff,9.017777312568416,2.1954246514437434,0.6225165724754333,-0.003579591510538272
qrff,8.453536530171974,1.5685515870668596,0.8145695328712463,-0.0032268061187162678
srf,7.868575793351194,2.1524472845717635,0.17218543589115143,-0.002849940773051708
mix,2.4857859712864303,1.0452713509325917,0.8145695328712463,-0.0012319033061683271
svgp,5.277351897035163,1.6086266174535038,0.940397322177887,0.0011698864054473053
rff_rbf,4.156076661782462,1.4622409990458525,0.6026490330696106,0.00073887423462635
rff,8.551041052472215,2.1974306861733353,0.556291401386261,0.00042643219833936547
qrff,3.5555948601376204,1.2484701458604264,0.8410596251487732,-0.00027709062048760343
srf,5.485724080709369,1.733437069902517,0.2384105920791626,-0.0006839080918322402
mix,2.807952910806872,1.1813065295516734,0.8013244867324829,-0.0003775375415652168
svgp,6.932118646601614,1.7745489905577305,0.9337748289108276,0.003465603984572402
rff_rbf,6.354174597898511,1.682768981324359,0.5960264801979065,0.0037601329842763247
rff,3.4621237509950302,1.241969156311537,0.8410596251487732,0.0016863452889169033
qrff,8.697529440298073,1.8972037782314854,0.7417218685150146,0.00291354477354664
srf,14.84997409801413,2.8370790558542827,0.09933774918317795,0.002317094403837415
mix,3.0959174634430613,1.1353979481595384,0.7284768223762512,0.0018103379672894087
svgp,4.5565651862417385,1.50535987942876,0.9668874144554138,0.001866724260049934
rff_rbf,4.594134494762406,1.4923206385897385,0.6357616186141968,0.001872845506283038
rff,4.975835899802665,1.4031613309466493,0.8013244867324829,0.0016010335999092288
qrff,5.081110116791779,1.4457772585941477,0.8476821184158325,-0.001030544086727274
srf,3.514774652815083,1.3034887691532688,0.3708609342575073,0.0015187041336708082
mix,2.53563072607488,1.0520557654884317,0.860927164554596,0.0007081388826363418
