model,mse,mae,cal,z,nlpd
svgp,5.926749588736641,1.7525707879019343,0.9733333587646484,0.0002548729100423336,296.3383421794379
rff_rbf,6.62735759097486,1.7615014611040156,0.5200000405311584,0.001352025038617806,395.6252914515024
rff,8.486014815224419,1.5003334084032172,0.8533333539962769,-0.0014708311133486117,300.9569769712568
qrff,8.24703509916114,1.7116912022587676,0.8066666722297668,-0.0014820156684137236,211.20309546274854
srf,8.367433798352518,1.527683619087602,0.36000001430511475,-0.0008046966784204424,3005.494632873771
mix,3.2167547126102782,1.2187508841542494,0.9666666984558105,0.0006188049103092727,310.67884399009967
svgp,5.640948657333725,1.656603427036486,0.9333333373069763,-0.0003480023236403922,466.7117024520809
rff_rbf,6.1679666955826224,1.716079555569467,0.5666666626930237,0.0002501447732816945,587.2190676788737
rff,4.3810585960577395,1.327252933667168,0.8266667127609253,0.0006156587853100631,122.49236646388027
qrff,2.462040506198846,1.0514905351961255,0.893333375453949,0.0010159878572107294,7.257877945723635
srf,3.8197275508641075,1.2570237106172568,0.3866666853427887,0.00011752961140500729,2570.108719222919
mix,3.61223808049969,1.3458537797510732,0.8666666746139526,-0.0002219772166308286,480.4712852839689
svgp,6.439015250726405,1.858280132994023,0.9466667175292969,0.0009387564362902725,597.5917848257728
rff_rbf,12.925612689864936,2.1984528326543376,0.4933333396911621,-0.0012131841260742157,811.414171142667
rff,3.788172858765661,1.295295068279999,0.8199999928474426,-0.0007889681605249825,99.24477817140684
qrff,4.227931689275476,1.3549267801902076,0.8266667127609253,0.0005939335139145894,87.75370704841527
srf,5.961379169428646,1.3923247540114467,0.4399999976158142,-0.0016201896281878468,2995.5258299828965
mix,4.653933902935669,1.5615506540428084,0.8533333539962769,0.001370095400211136,530.4770817047925
svgp,7.844080267064953,1.816392970392703,0.9133333563804626,0.0024489759776685775,840.0324442521814
rff_rbf,16.54553269433754,2.9100576197047796,0.36000001430511475,-0.0009137767819414934,1906.9355659792764
rff,9.869683423836266,2.1971623391940986,0.6000000238418579,0.001505612698124532,507.45678893232366
qrff,5.82203156206486,1.5845663190456538,0.7866666913032532,0.0005353359375862823,145.61654646122167
srf,15.452935900612424,2.63560695672521,0.2199999988079071,-0.0012499283896832546,12037.783298013304
mix,4.384520432576092,1.306006414953529,0.8666666746139526,0.00045047768976252717,555.3153090485029
svgp,5.104241974938199,1.7315197021265731,0.9733333587646484,0.0017150996344288104,402.68944123383636
rff_rbf,5.955974722268465,1.7972718262897522,0.5066666603088379,0.0013002526130127417,417.09236376314686
rff,9.469827929940234,2.2112521087170705,0.6133333444595337,-0.001436333969245076,405.1071112909984
qrff,3.45061575678242,1.26675179683213,0.8533333539962769,-0.0003793448306800713,28.829896832335635
srf,3.6572781933178207,1.32862876377521,0.3333333432674408,0.0013002975116414937,2172.4097922119045
mix,3.6862119288617747,1.3816173165125811,0.9000000357627869,0.002325642458709301,483.9360977860393
svgp,4.879493125524379,1.6814518316274694,0.9666666984558105,0.0006323224814781088,357.1634702563614
rff_rbf,3.8635893611577945,1.5042359627186574,0.6000000238418579,0.00045648360431419893,285.9946150010993
rff,3.3859962870424694,1.231712327078417,0.846666693687439,-0.0010337654305865298,40.67185753245627
qrff,4.840000475274088,1.3849440599001128,0.8266667127609253,-0.00039606424520649775,73.61694851101345
srf,5.881936623482462,1.8712165739359705,0.18000000715255737,-0.0029223118869870254,4232.365424876089
mix,3.3734323258535466,1.292098742210299,0.9200000166893005,0.0011938987988682336,502.84144372297084
svgp,5.489913783622259,1.6642400505624904,0.9399999976158142,0.0004058708910968924,428.5425880008162
rff_rbf,8.701714225590026,2.1886215553697737,0.4333333373069763,0.00034261605745423024,932.8796130828027
rff,3.5651469310917814,1.251144331059788,0.8199999928474426,-0.0007315433414664481,77.2997087558831
qrff,5.520311242176237,1.5353282348847794,0.7599999904632568,-0.0003695613875461278,144.0009508346377
srf,4.393141502512035,1.3349946877280054,0.36000001430511475,0.00205214571417098,2748.6776847987157
mix,3.662531719837262,1.3004761966526086,0.8600000143051147,0.0016208656682234679,427.73395386586424
svgp,4.268974684128101,1.6074183380805498,0.9866666793823242,-0.0005677684751372616,412.6541864808575
rff_rbf,7.81359409730344,2.155279068035406,0.46000000834465027,0.0005787886561327148,743.8783981003767
rff,5.539736994473975,1.4980555550050203,0.7866666913032532,0.0010290402401486032,196.86019317269296
qrff,5.010116761859923,1.2721588050777166,0.8533333539962769,-0.002032984751355642,63.458144547174186
