model,mse,mae,cal,z
svgp,40.66819396542222,4.939234811091071,0.9660194516181946,-0.0037046019543159753
rff_rbf,32.76860737518224,4.162761466860398,0.9417476058006287,-0.002140486298783212
rff,17.441491430400855,3.001761254999495,0.9563106894493103,0.005361843703404123
qrff,17.18222816525234,2.859292675275532,0.9660194516181946,0.007471146379851053
srf,29.883181914089356,3.734738101944594,0.9563106894493103,0.005285084304271236
mix,14.760162779476799,2.811005176715304,0.9708737730979919,0.001719241465127953
svgp,46.47862642911188,5.091414180786366,0.9417476058006287,0.0038103495562280118
rff_rbf,35.2274302321539,4.491956108359767,0.9320388436317444,-0.004877853404923474
rff,32.79485075723056,3.737957896281827,0.9223300814628601,0.002168445500334307
qrff,23.493247618504345,3.2914711009243995,0.946601927280426,0.0029182846215341316
srf,30.18019703420759,3.9745623253092814,0.946601927280426,-0.002372248302546504
mix,19.768927612942267,2.9213124578923706,0.9271844625473022,-0.0007659552493459612
svgp,37.24732460230819,4.7134936994274605,0.9660194516181946,-0.0037430926894736326
rff_rbf,28.17231011880894,3.854499850799615,0.946601927280426,-0.002057273187812759
rff,20.834667836127167,3.321927456647069,0.9708737730979919,0.0032582378794892113
qrff,18.713995025136022,3.2071408725830697,0.9611650705337524,0.0017705401789812386
srf,26.020548434220117,3.732732497297769,0.9514563083648682,0.008064810658904157
mix,15.315816812055422,2.784581645326551,0.9563106894493103,-0.004987179810971451
svgp,38.63124599631874,4.658868801380383,0.9611650705337524,0.01779948255327279
rff_rbf,31.361591902552835,3.990932418071971,0.9368932247161865,0.012779257713193805
rff,25.290989999332492,3.3733922452503604,0.9514563083648682,0.013667972974926177
qrff,27.12578344191436,3.2804074182565595,0.9417476058006287,0.028751859169037438
srf,28.1679196499411,3.5572450824125847,0.946601927280426,0.017302705714405946
mix,16.112742541675352,2.696399659435195,0.9514563083648682,0.01889638623606035
svgp,35.34008853165096,4.716800404506806,0.9708737730979919,0.0009472114423746456
rff_rbf,37.196725917658156,4.5408451717936495,0.9029126167297363,0.0010355680386264037
rff,18.048780746320045,3.1223248000563686,0.9660194516181946,0.005047567156556126
qrff,14.524265308511803,2.8988699581914483,0.9854369163513184,0.0007322380966544615
srf,21.615391449023004,3.4236500955086653,0.9708737730979919,0.003112711445184531
mix,14.236336400486243,2.665345837475264,0.9563106894493103,0.007930013776659552
svgp,42.777379557334335,5.058112799339723,0.9563106894493103,0.005706966200441879
rff_rbf,37.70692978159184,4.39154142479701,0.9320388436317444,0.011516879240063924
rff,31.95065825365501,3.9381619552123057,0.8980582356452942,-0.017661767913390306
qrff,33.379127878129005,3.897771311906776,0.9271844625473022,-0.010528368653380258
srf,31.479940233943697,4.0219998985047605,0.9563106894493103,-0.008536282497841566
mix,19.54823457790931,3.011471587317552,0.9563106894493103,-0.00323262615343375
svgp,45.72513965596864,5.1367015739661674,0.9417476058006287,-0.03269724080473369
rff_rbf,48.33025292552612,5.024375271439193,0.9029126167297363,-0.009546867116265437
rff,32.82460127692077,3.5030701453931523,0.9368932247161865,-0.011158203402010944
qrff,26.446467314967514,3.5339494515574845,0.9514563083648682,-0.006932992586552211
srf,40.78725031807303,4.248494879691457,0.9514563083648682,-0.022626553326609424
mix,23.357759006215023,3.0772084476013033,0.9514563083648682,-0.008915287889963756
svgp,48.36373439107034,5.027524128134566,0.9514563083648682,0.00831891737306933
rff_rbf,35.497704140193754,4.119674207230921,0.9514563083648682,0.0175499145115909
rff,26.31770628481374,3.434982251111777,0.9563106894493103,0.015292158341465738
qrff,26.776605564361404,3.406308386265444,0.946601927280426,0.00740614003123967
srf,35.11238231810365,4.021764262463071,0.9368932247161865,0.021393098572877516
mix,25.727974811486636,3.226437224767288,0.9368932247161865,0.018632583442472695
svgp,47.95769820890221,5.148403507558325,0.9660194516181946,-0.004240294280058808
rff_rbf,46.92216876587661,4.720863072626528,0.9368932247161865,0.0014083394869228367
rff,28.815904373958993,3.9185330048243325,0.946601927280426,-0.0075274042889310775
qrff,27.708028297135222,3.5380153997433563,0.9514563083648682,-0.002622513744818735
srf,38.95070533881087,4.165262664872939,0.9417476058006287,-0.0008911397202449891
mix,21.373589950934118,3.1465010502177395,0.946601927280426,-0.005203643959711722
svgp,54.428481377814286,5.4176915165518915,0.9320388436317444,-0.019622254675612814
rff_rbf,40.25978478992134,4.623494328873774,0.9223300814628601,-0.02075545242030304
rff,23.917787693677877,3.4356667350768197,0.9563106894493103,0.003295077753374864
qrff,20.540168388679252,3.2212992929464224,0.9563106894493103,0.0020311663388644587
srf,26.123244666735232,3.757156471782957,0.9563106894493103,-0.00862820875745576
mix,14.328426222161745,2.7875181969817766,0.946601927280426,-0.001655598755954289
