model,mse,mae,cal,z,nlpd
svgp,41.216045369167716,4.7685052241215455,0.9514563083648682,-0.004948020668071985,217.2996388803613
rff_rbf,35.580442986358406,4.679213642853334,0.9611650705337524,-0.013652675285346772,39.592009272340135
rff,32.50068056224089,3.720768050696455,0.9126213788986206,-0.013907511092529776,34.5243710522148
qrff,19.598608316447717,3.111209227782629,0.9708737730979919,-0.011794381984100625,11.30690579987457
srf,31.714643115681135,4.091643654574805,0.9417476058006287,-0.02063234302901931,28.717994479721796
mix,18.956925243039198,2.9728524047708915,0.8737863898277283,-0.008289517754160489,120.21969287536328
svgp,63.96478745813355,6.006118448218105,0.9029126167297363,0.010584126657127648,536.1808824124982
rff_rbf,48.10067540438844,5.062659136406213,0.8640776872634888,0.014615983839463671,63.44201063642001
rff,37.68950724668926,3.6768515909013564,0.9514563083648682,0.0017147563998840456,46.14739712657993
qrff,30.526650777459523,3.431462232765178,0.9514563083648682,-0.0037789893919096284,32.55219261392433
srf,42.071858114234495,4.172108008659052,0.9514563083648682,0.014583120612352276,49.6409872208188
mix,26.820532042041528,3.053987124402502,0.8737863898277283,-0.00010471675447331106,208.92017147304347
svgp,41.45104722805635,4.510717106948406,0.9417476058006287,-0.00018009566318642203,227.15093316760408
rff_rbf,33.24433870178811,4.011259896460506,0.9126213788986206,0.015055626502809638,36.30843956395515
rff,31.119920258998697,3.543326469247929,0.9417476058006287,0.001872251086455712,33.129413436397925
qrff,28.547725842939627,3.5415105523275914,0.9514563083648682,-0.0012597341111932677,27.891381211579983
srf,38.292855369103734,3.8315914423618427,0.9417476058006287,-0.002556609554051375,40.54899881928492
mix,17.533803862929673,2.5849333689481306,0.8737863898277283,-0.005210649641371809,93.3024003662387
svgp,45.3146868011634,5.266265664464434,0.9223300814628601,0.0058717552559328125,413.62651395255114
rff_rbf,36.87665073597122,4.482053219409369,0.9029126167297363,0.006125487272729091,43.5724277434105
rff,25.865677537793083,3.202692813013854,0.9514563083648682,-0.010334159248376119,23.875776876418882
qrff,28.073435067056447,3.4692101497400625,0.9320388436317444,0.0004487505380411897,28.076999398204492
srf,33.03461374213836,3.938093986162482,0.9320388436317444,0.0063065395687224935,34.92870828769799
mix,23.39217670791878,3.012689455144885,0.8640776872634888,0.0007886930144362687,214.51326443100552
svgp,31.52360410439039,3.998961129017179,0.9902912974357605,-0.009092078312034211,127.21097311787244
rff_rbf,34.35557799063824,4.235288309868858,0.9223300814628601,0.0009264151629192538,35.744769589920466
rff,16.267455185050647,2.744773779752712,0.9902912974357605,0.0027767992006847626,4.95563709383724
qrff,24.00660363171882,2.951474626620481,0.9514563083648682,0.013599162978721517,19.44629674560548
srf,26.180404745163045,3.7226151982019915,0.9805825352668762,-0.002119604489295875,21.27234401434768
mix,11.336829839597819,2.273884926837781,0.9223300814628601,0.0034970530675779536,27.606744661486836
svgp,37.81003981826587,4.798462965594461,0.9708737730979919,-0.010510637868512729,249.36583267294805
rff_rbf,31.302701834887422,4.28917688390374,0.9611650705337524,0.00688308118461823,32.98958558373738
rff,21.285344651102335,3.1382700288115224,0.9611650705337524,0.016830993499432845,14.3964212320886
qrff,16.28351338109291,2.892970004774803,0.9708737730979919,0.014971420494840772,5.178864622544609
srf,26.209939850170944,3.839162720934083,0.9611650705337524,0.014996187782217387,23.633748121316913
mix,8.809394431251361,2.209899158485009,0.9126213788986206,-0.0043385641793612815,8.274637859849138
svgp,44.00566061786938,4.774049966940012,0.9611650705337524,-0.007992408001719901,323.70154639123433
rff_rbf,34.10048773109481,4.205501639481707,0.9223300814628601,0.01159230537370972,37.79039000509226
rff,30.953338196494148,3.4907067267245284,0.9417476058006287,0.0002979948128434443,33.25750620390863
qrff,34.06304129060338,3.7018335128995643,0.9223300814628601,-0.019503793070153413,39.12153573664476
srf,28.415118107502778,3.6659025925269124,0.9514563083648682,0.01076103392579127,28.466493633589835
mix,21.41026432416044,2.6752426395883817,0.8834951519966125,-0.0020549483487442544,179.49536821445767
svgp,34.84304814759203,4.5564634455004605,0.9805825352668762,-0.012887205372508157,204.53031526271576
rff_rbf,26.902954783348218,4.083727974091196,0.9708737730979919,-0.005855193542825688,25.183624147393743
rff,27.10256225301591,3.435418699025824,0.9417476058006287,-0.019231591324520275,25.6739290760394
qrff,23.313267467535745,3.334978628139133,0.9611650705337524,-0.011946628112748775,18.21257555891549
srf,21.210174227757065,3.2723300629443486,0.9805825352668762,-0.014022786135548608,15.693501390547311
mix,16.48986743289121,2.938697744914121,0.8737863898277283,-0.018189789472626203,90.76267425275428
svgp,35.502731170513655,4.480184770165241,0.9611650705337524,0.0035533973965712756,206.38386076853033
