model,mse,mae,cal,z
svgp,8.849168552800926,1.9870419336553036,0.8441558480262756,0.019730680609803642
rff_rbf,0.23923025518072172,0.34476729806065287,0.91558438539505,-0.0007498050066631522
rff,0.1016813359203386,0.22717232015043787,0.948051929473877,-0.0004358813327980871
qrff,0.11863774526331998,0.2462314949428663,0.9350649118423462,-0.00022108122249500165
srf,0.16029243351781725,0.3231022741371643,0.8766233921051025,0.0014338929132901783
mix,0.07805721841893881,0.1818427170512004,0.8636363744735718,-0.0012221598340342334
svgp,7.18543975481441,1.8400765408976207,0.8831169009208679,-0.003717043449272282
rff_rbf,0.26312596446021697,0.3673867841184715,0.8961039185523987,-0.0030496467393473867
rff,0.127193773918033,0.2572366433754313,0.9285714030265808,-0.00013493208067776952
qrff,0.13220101759866326,0.2535680950550642,0.9415584206581116,-0.0007725267081517072
srf,0.2643419856961554,0.35464381995656963,0.8441558480262756,-0.0004928965819653101
mix,0.07617438320653042,0.1815985135902941,0.8961039185523987,-0.0008393151307982252
svgp,8.209188595749373,1.957046519561744,0.8571428656578064,-0.00606723833760154
rff_rbf,0.2305539699399811,0.35885860617504867,0.9220778942108154,-0.0020273080157044705
rff,0.1235486243741285,0.2574809060264484,0.9220778942108154,0.0013639338792077102
qrff,0.12265554874085594,0.2658419821480234,0.9350649118423462,0.0010150672642658166
srf,0.1907002037674428,0.33115053894776025,0.8571428656578064,0.0007766278356261607
mix,0.08295944665471142,0.21199252267005028,0.850649356842041,0.00014514295538797274
svgp,9.22871328114575,2.1917668552651537,0.8051947951316833,-0.014707810919039593
rff_rbf,0.20808739716268687,0.34887923250518055,0.9610389471054077,-0.0009466038717983492
rff,0.22294662185566508,0.31577282809452184,0.8896104097366333,-0.004217297429669166
qrff,0.19178577542370662,0.3014464952171496,0.8831169009208679,-0.005052647413563888
srf,0.170459298883656,0.2787169808941548,0.9025974273681641,-0.0037272580796381695
mix,0.12758069771280925,0.22221551678638204,0.8376623392105103,-0.003055057854963938
svgp,5.486747375624536,1.5902495115809816,0.9350649118423462,0.0016090729054020622
rff_rbf,0.30481625607927343,0.3745222828012334,0.9350649118423462,0.002868600959086304
rff,0.1810016713968878,0.25470885451962716,0.9350649118423462,0.0023364849904617888
qrff,0.1815625702846322,0.27078389038235123,0.9350649118423462,0.0019611337376130846
srf,0.1544691404645037,0.2436590229865026,0.948051929473877,0.0003509871474845551
mix,0.1543215456089551,0.23211233950517032,0.8246753215789795,0.001523823878248375
svgp,7.081505699006304,1.8484082330493872,0.8636363744735718,-0.00691675498567034
rff_rbf,0.2231710467899826,0.34100621953446153,0.9350649118423462,-0.001272029472868506
rff,0.1427333051693187,0.26265900809770953,0.9025974273681641,-0.0010295118497149534
qrff,0.1584352380490192,0.30089513346910157,0.8896104097366333,-0.002075270150343246
srf,0.14755391276744806,0.2836399131128815,0.8896104097366333,-0.0019048798992058298
mix,0.16057241547272755,0.291850466431245,0.8376623392105103,-0.0010822538709299669
svgp,6.652671003851916,1.7414301716927767,0.8961039185523987,-0.014708988506852776
rff_rbf,0.18229797069990056,0.3152622623696313,0.9675324559211731,0.0022042016233190837
rff,0.12776758209665787,0.26344693509936634,0.9220778942108154,0.0008524669931431233
qrff,0.1549383018948843,0.28078611601457826,0.9220778942108154,0.0009977956979580578
srf,0.11955610276964294,0.2610803347667262,0.9285714030265808,0.0030186426634548455
mix,0.11015745810399799,0.24300852594628838,0.8181818127632141,0.0016317791552650177
svgp,7.182063695303763,1.8223426773628428,0.8961039185523987,-0.015940367018187716
rff_rbf,0.20603746585291563,0.34502284172175346,0.9415584206581116,0.001522374569672103
rff,0.14552148285403801,0.2928404509212169,0.9025974273681641,0.0008408569661339174
qrff,0.16431948623610393,0.28704901313004005,0.8896104097366333,0.0009034711321333763
srf,0.13229364879765257,0.2704450542993873,0.9090909361839294,0.0005212821624661204
mix,0.12147993013216325,0.2527245493138501,0.8181818127632141,0.0005697161648478389
svgp,6.801435981603129,1.7964809459417068,0.8831169009208679,0.00417202287471966
rff_rbf,0.2319313274963122,0.35667839372943827,0.91558438539505,-0.0007708078084871776
rff,0.12854254077462218,0.2759448880257198,0.9220778942108154,0.0017833249997128847
qrff,0.180466900381935,0.33252306736175047,0.8636363744735718,0.0004440806463220612
srf,0.10084187660626918,0.24633953548292925,0.9220778942108154,0.0017586775702469082
mix,0.09815448747074372,0.22155138448692405,0.7792207598686218,0.0016893730032054258
svgp,6.556095684684477,1.7263652386150157,0.9025974273681641,-0.00948537378992397
rff_rbf,0.21489402708045052,0.3422046765985299,0.948051929473877,-0.001075244434919245
rff,0.12753509126720222,0.2501667020566806,0.9090909361839294,-0.0004738017128886635
qrff,0.12461936469994893,0.25724988424736994,0.9350649118423462,0.0004874170761715463
srf,1.5589322417076352,1.0117486529218986,0.37012988328933716,0.002564359661614813
mix,0.07825699644879053,0.20452869388307637,0.8766233921051025,-0.0006975499704577037
