model,mse,mae,cal,z,nlpd
svgp,7.312599732132036,1.9008280538206097,0.8823529481887817,9.856978553732769e-05,967.5779558854717
rff_rbf,0.29347430597146035,0.3826349909852769,0.9411764740943909,0.0027068505539664385,-228.75422852413251
rff,0.16551492914473373,0.2705910517024846,0.9281045794487,0.0017934668811244578,-267.04387235563587
qrff,0.15685225970944394,0.2600711743287736,0.9346405267715454,0.002225992492539752,-272.848325063298
srf,0.12467080908696135,0.23371279562995192,0.9477124214172363,0.002325053766030256,-294.1292686764144
mix,0.11069674640041555,0.2117594049515237,0.9542483687400818,0.0015084536623162384,-254.53978114868457
svgp,7.984948819352786,1.8713572141928523,0.8496732115745544,0.017585791005735398,1170.2960696092946
rff_rbf,0.2116826126873598,0.3175021604246303,0.9477124214172363,-0.0009998437835275495,-254.26376201571492
rff,0.12589945514785994,0.246150517815924,0.9542483687400818,-0.0006512962384995157,-296.1801565510315
qrff,0.12400818906447351,0.24193519125592422,0.9477124214172363,0.0008311683959750833,-297.1610902399848
srf,0.3347606380629503,0.3288482977249904,0.8823529481887817,-0.002857569922483238,-144.6126853421652
mix,0.06980177596635825,0.17421064383387125,0.9607843160629272,0.0007622085902662988,-300.44574531090075
svgp,5.866545621813884,1.6576551905807115,0.9084967374801636,0.007542032672771623,669.1632207090944
rff_rbf,0.20688940202586475,0.33467713943347027,0.9411764740943909,-0.0009877374550991077,-255.29968845309048
rff,0.08310416556290542,0.2106685360247106,0.9542483687400818,-0.002175504822169964,-323.3245269807727
qrff,0.09441428448798951,0.23862271347941275,0.9542483687400818,-0.0023345994656374415,-316.0155539761583
srf,0.07221485546393183,0.21360064529576092,0.9542483687400818,-0.0012738280143470945,-335.0259766024131
mix,0.048544797342755144,0.16417552440058605,0.9803921580314636,-0.001514150087244528,-359.78882259835376
svgp,7.343925488340633,1.9112304574549885,0.8823529481887817,-0.014316621442064194,981.6448716424917
rff_rbf,0.20895394988785307,0.34594372603925244,0.9346405267715454,0.0008501470427205542,-254.9947958149367
rff,0.09576760602893572,0.24253304072787354,0.9673202633857727,-0.00012781385733407779,-314.94540011035355
qrff,0.10765835193536867,0.23878276753943778,0.9607843160629272,0.0012157678569380249,-307.9709152998346
srf,0.1220109157096408,0.2784042609236182,0.915032684803009,0.000574409202232966,-296.01899951761334
mix,0.05964194268169804,0.17500606571050464,0.9542483687400818,0.0009339459437246727,-330.47282753021074
svgp,9.352748426471441,2.129704390099578,0.8104575276374817,0.006314942675173705,1409.0974413645736
rff_rbf,0.24248436444619972,0.33409594292430195,0.9803921580314636,0.0012190475475883074,-244.44920030189542
rff,0.1735338908431849,0.27621135852959117,0.9215686321258545,0.0007040891690464241,-262.77682431533975
qrff,0.14792247682940374,0.25366313333193974,0.9542483687400818,0.00027792141818451787,-280.3651286636827
srf,0.1916417534566619,0.30005198588669946,0.8692810535430908,0.0009296897561081595,-240.24705220154726
mix,0.11765232508303165,0.19310662931560865,0.9346405267715454,0.0010069342866559723,-241.6560190483697
svgp,6.487057625151874,1.716712867886986,0.9084967374801636,-0.002464130667392385,840.4870450394388
rff_rbf,0.2028700820913821,0.3345018191371624,0.9542483687400818,0.000797451532783312,-258.4212145718676
rff,0.15994382017637612,0.2887294738527688,0.9019607901573181,-0.0007292056738431199,-274.3455934816659
qrff,0.10102151640195933,0.2500372055449253,0.9673202633857727,-0.00044469215687774246,-311.8621266219898
srf,0.27332698739213357,0.3795557404461459,0.7908496856689453,-0.001967768682214263,-182.64922071557294
mix,0.0789530174552336,0.19902577010830508,0.9346405267715454,0.001075724584759163,-290.4673358294815
svgp,6.7282445485920634,1.7639131331314648,0.8888888955116272,-0.011881555472184894,817.887910809328
rff_rbf,0.24558078578923156,0.3237804445241744,0.9411764740943909,0.002468999731135119,-243.99591871954206
rff,0.18084993986235537,0.28047628059857155,0.9215686321258545,0.0012445764447670234,-258.74990463211606
qrff,0.1700782468900675,0.26632312151284815,0.9411764740943909,0.003512525174452484,-265.2191068898998
srf,0.1682878213330694,0.26027353108850654,0.9411764740943909,0.0013580785091298077,-258.10642350955754
mix,0.10788377955819965,0.18031899691488987,0.9477124214172363,0.0010541292993034444,-251.01893487435072
svgp,7.346531600291786,1.8162685190774983,0.8627451062202454,0.016643046902272918,956.7511681826161
rff_rbf,0.2101540193216801,0.3373490861613484,0.9346405267715454,-0.0021429776642998936,-254.98672562321266
rff,0.11111402647914524,0.24847176944005794,0.9411764740943909,-0.002026143894823326,-304.69408485238034
qrff,0.11292570298728015,0.25140899606472805,0.9346405267715454,-0.0007434982850186135,-303.8595805404855
srf,0.1642721679290303,0.3146644510850144,0.8823529481887817,-0.002021755137090792,-264.43953578050264
mix,0.09378718437934451,0.20811486244228877,0.9215686321258545,-0.0011354939955015029,-269.07369583289324
svgp,7.854510467793945,1.9267311396988747,0.8562091588973999,0.0015313185726869203,1015.1127822352719
rff_rbf,0.2300190528568291,0.3555902295651275,0.9411764740943909,-0.0006327610612741446,-250.4550948145312
rff,0.10609298731848155,0.23710096906830827,0.9542483687400818,0.0002348567315383294,-307.86184692226306
qrff,0.12819015448679935,0.25024122812546756,0.9411764740943909,0.0005513433440020023,-294.31935755781797
srf,0.11986448653502846,0.25907118535799945,0.9346405267715454,-0.0012431247253888154,-297.41647550568376
mix,0.08917018435887035,0.19314176701194638,0.9281045794487,-0.0008829461430387823,-288.0602522217172
svgp,7.883124000337628,1.9136540464799996,0.8758170008659363,-0.0036481709900961184,1107.948675312629
