seed,N,R,d,lr,epochs,method,error
2718843009,1000,200,2,0.3,15000,mc,0.017107559368014336
1278412471,1000,200,2,0.3,15000,mc,0.004235157277435064
4104543539,1000,200,2,0.3,15000,mc,0.010856754146516323
1194623263,1000,200,2,0.3,15000,mc,0.019302787259221077
2205739499,1000,200,2,0.3,15000,mc,0.017672857269644737
2718843009,1000,200,4,0.3,15000,mc,0.03630644828081131
1278412471,1000,200,4,0.3,15000,mc,0.016493022441864014
4104543539,1000,200,4,0.3,15000,mc,0.020297572016716003
1194623263,1000,200,4,0.3,15000,mc,0.03004467487335205
2205739499,1000,200,4,0.3,15000,mc,0.029764659702777863
2718843009,1000,200,6,0.3,15000,mc,0.04016011580824852
1278412471,1000,200,6,0.3,15000,mc,0.046764373779296875
4104543539,1000,200,6,0.3,15000,mc,0.056802377104759216
1194623263,1000,200,6,0.3,15000,mc,0.07211732119321823
2205739499,1000,200,6,0.3,15000,mc,0.049331650137901306
2718843009,1000,200,8,0.3,15000,mc,0.07155999541282654
1278412471,1000,200,8,0.3,15000,mc,0.06115919351577759
4104543539,1000,200,8,0.3,15000,mc,0.06994021683931351
1194623263,1000,200,8,0.3,15000,mc,0.0700841099023819
2205739499,1000,200,8,0.3,15000,mc,0.056182123720645905
2718843009,1000,200,10,0.3,15000,mc,0.0738636776804924
1278412471,1000,200,10,0.3,15000,mc,0.0833788737654686
4104543539,1000,200,10,0.3,15000,mc,0.0911869928240776
1194623263,1000,200,10,0.3,15000,mc,0.07567629963159561
2205739499,1000,200,10,0.3,15000,mc,0.08317873626947403
2718843009,1000,200,12,0.3,15000,mc,0.08538022637367249
1278412471,1000,200,12,0.3,15000,mc,0.10527759045362473
4104543539,1000,200,12,0.3,15000,mc,0.10812315344810486
1194623263,1000,200,12,0.3,15000,mc,0.09107903391122818
2205739499,1000,200,12,0.3,15000,mc,0.10626408457756042
2718843009,1000,200,14,0.3,15000,mc,0.13736943900585175
1278412471,1000,200,14,0.3,15000,mc,0.11935585737228394
4104543539,1000,200,14,0.3,15000,mc,0.1328825205564499
1194623263,1000,200,14,0.3,15000,mc,0.11997782438993454
2205739499,1000,200,14,0.3,15000,mc,0.11987175792455673
2718843009,1000,200,16,0.3,15000,mc,0.1620609611272812
1278412471,1000,200,16,0.3,15000,mc,0.14586399495601654
4104543539,1000,200,16,0.3,15000,mc,0.1485842764377594
1194623263,1000,200,16,0.3,15000,mc,0.13810154795646667
2205739499,1000,200,16,0.3,15000,mc,0.15878832340240479
2718843009,1000,200,18,0.3,15000,mc,0.17314593493938446
1278412471,1000,200,18,0.3,15000,mc,0.17661304771900177
4104543539,1000,200,18,0.3,15000,mc,0.17673343420028687
1194623263,1000,200,18,0.3,15000,mc,0.17693540453910828
2205739499,1000,200,18,0.3,15000,mc,0.18944011628627777
2718843009,1000,200,20,0.3,15000,mc,0.21318964660167694
1278412471,1000,200,20,0.3,15000,mc,0.19913829863071442
4104543539,1000,200,20,0.3,15000,mc,0.20966754853725433
1194623263,1000,200,20,0.3,15000,mc,0.21284744143486023
2205739499,1000,200,20,0.3,15000,mc,0.2125983089208603
2718843009,1000,200,22,0.3,15000,mc,0.24788664281368256
1278412471,1000,200,22,0.3,15000,mc,0.24222995340824127
4104543539,1000,200,22,0.3,15000,mc,0.26163020730018616
1194623263,1000,200,22,0.3,15000,mc,0.24322664737701416
2205739499,1000,200,22,0.3,15000,mc,0.24626363813877106
2718843009,1000,200,24,0.3,15000,mc,0.2888118624687195
1278412471,1000,200,24,0.3,15000,mc,0.29065990447998047
4104543539,1000,200,24,0.3,15000,mc,0.27709129452705383
1194623263,1000,200,24,0.3,15000,mc,0.27919796109199524
2205739499,1000,200,24,0.3,15000,mc,0.2783006429672241
2718843009,1000,200,26,0.3,15000,mc,0.340899795293808
1278412471,1000,200,26,0.3,15000,mc,0.33308663964271545
4104543539,1000,200,26,0.3,15000,mc,0.32445231080055237
1194623263,1000,200,26,0.3,15000,mc,0.3268759250640869
2205739499,1000,200,26,0.3,15000,mc,0.336204469203949
2718843009,1000,200,28,0.3,15000,mc,0.3898690938949585
1278412471,1000,200,28,0.3,15000,mc,0.3795197606086731
4104543539,1000,200,28,0.3,15000,mc,0.39020976424217224
1194623263,1000,200,28,0.3,15000,mc,0.3812253177165985
2205739499,1000,200,28,0.3,15000,mc,0.3830373287200928
2718843009,1000,200,30,0.3,15000,mc,0.4487243890762329
1278412471,1000,200,30,0.3,15000,mc,0.45278704166412354
4104543539,1000,200,30,0.3,15000,mc,0.4486912488937378
1194623263,1000,200,30,0.3,15000,mc,0.440428227186203
2205739499,1000,200,30,0.3,15000,mc,0.4446151852607727
2718843009,1000,200,2,0.3,15000,qmc,0.001538588898256421
1278412471,1000,200,2,0.3,15000,qmc,0.001564170466735959
4104543539,1000,200,2,0.3,15000,qmc,0.002604227513074875
1194623263,1000,200,2,0.3,15000,qmc,0.0011575187090784311
2205739499,1000,200,2,0.3,15000,qmc,0.0021349505987018347
2718843009,1000,200,4,0.3,15000,qmc,0.005819603800773621
1278412471,1000,200,4,0.3,15000,qmc,0.0061830696649849415
4104543539,1000,200,4,0.3,15000,qmc,0.007022379897534847
1194623263,1000,200,4,0.3,15000,qmc,0.00784989446401596
2205739499,1000,200,4,0.3,15000,qmc,0.005302720237523317
2718843009,1000,200,6,0.3,15000,qmc,0.01473165675997734
1278412471,1000,200,6,0.3,15000,qmc,0.01810622587800026
4104543539,1000,200,6,0.3,15000,qmc,0.01391755323857069
1194623263,1000,200,6,0.3,15000,qmc,0.017410559579730034
2205739499,1000,200,6,0.3,15000,qmc,0.01561301201581955
2718843009,1000,200,8,0.3,15000,qmc,0.027263218536973
1278412471,1000,200,8,0.3,15000,qmc,0.028060004115104675
4104543539,1000,200,8,0.3,15000,qmc,0.03134649246931076
1194623263,1000,200,8,0.3,15000,qmc,0.030027028173208237
2205739499,1000,200,8,0.3,15000,qmc,0.029412440955638885
2718843009,1000,200,10,0.3,15000,qmc,0.04183966666460037
1278412471,1000,200,10,0.3,15000,qmc,0.03966359421610832
4104543539,1000,200,10,0.3,15000,qmc,0.050995372235774994
1194623263,1000,200,10,0.3,15000,qmc,0.04629242420196533
2205739499,1000,200,10,0.3,15000,qmc,0.04321879521012306
2718843009,1000,200,12,0.3,15000,qmc,0.06340134143829346
1278412471,1000,200,12,0.3,15000,qmc,0.06233660876750946
4104543539,1000,200,12,0.3,15000,qmc,0.06284663826227188
1194623263,1000,200,12,0.3,15000,qmc,0.0693618506193161
2205739499,1000,200,12,0.3,15000,qmc,0.07349884510040283
2718843009,1000,200,14,0.3,15000,qmc,0.0900544822216034
1278412471,1000,200,14,0.3,15000,qmc,0.0854388102889061
4104543539,1000,200,14,0.3,15000,qmc,0.08803106844425201
