seed,N,R,d,lr,epochs,method,error
2718843009,1000,10,2,0.3,15000,mc,0.059066757559776306
1278412471,1000,10,2,0.3,15000,mc,0.03538495674729347
4104543539,1000,10,2,0.3,15000,mc,0.016797572374343872
1194623263,1000,10,2,0.3,15000,mc,0.08508279174566269
2205739499,1000,10,2,0.3,15000,mc,0.0821366235613823
2718843009,1000,50,2,0.3,15000,mc,0.021145256236195564
1278412471,1000,50,2,0.3,15000,mc,0.04999277740716934
4104543539,1000,50,2,0.3,15000,mc,0.015772387385368347
1194623263,1000,50,2,0.3,15000,mc,0.06224536523222923
2205739499,1000,50,2,0.3,15000,mc,0.0315537229180336
2718843009,1000,100,2,0.3,15000,mc,0.01929832249879837
1278412471,1000,100,2,0.3,15000,mc,0.026548786088824272
4104543539,1000,100,2,0.3,15000,mc,0.01616019941866398
1194623263,1000,100,2,0.3,15000,mc,0.023824216797947884
2205739499,1000,100,2,0.3,15000,mc,0.011921482160687447
2718843009,1000,200,2,0.3,15000,mc,0.017107559368014336
1278412471,1000,200,2,0.3,15000,mc,0.004235157277435064
4104543539,1000,200,2,0.3,15000,mc,0.010856754146516323
1194623263,1000,200,2,0.3,15000,mc,0.019302787259221077
2205739499,1000,200,2,0.3,15000,mc,0.017672857269644737
2718843009,1000,300,2,0.3,15000,mc,0.019710524007678032
1278412471,1000,300,2,0.3,15000,mc,0.013111555948853493
4104543539,1000,300,2,0.3,15000,mc,0.00605391850695014
1194623263,1000,300,2,0.3,15000,mc,0.006449912209063768
2205739499,1000,300,2,0.3,15000,mc,0.019548935815691948
2718843009,1000,500,2,0.3,15000,mc,0.014230010099709034
1278412471,1000,500,2,0.3,15000,mc,0.016445385292172432
4104543539,1000,500,2,0.3,15000,mc,0.00692305713891983
1194623263,1000,500,2,0.3,15000,mc,0.012872240506112576
2205739499,1000,500,2,0.3,15000,mc,0.010895921848714352
2718843009,1000,750,2,0.3,15000,mc,0.009092348627746105
1278412471,1000,750,2,0.3,15000,mc,0.0022432804107666016
4104543539,1000,750,2,0.3,15000,mc,0.0039966232143342495
1194623263,1000,750,2,0.3,15000,mc,0.0073790159076452255
2205739499,1000,750,2,0.3,15000,mc,0.017486151307821274
2718843009,1000,1000,2,0.3,15000,mc,0.0030687355902045965
1278412471,1000,1000,2,0.3,15000,mc,0.004146905150264502
4104543539,1000,1000,2,0.3,15000,mc,0.005921585951000452
1194623263,1000,1000,2,0.3,15000,mc,0.0067498451098799706
2205739499,1000,1000,2,0.3,15000,mc,0.0072777909226715565
2718843009,1000,10,2,0.3,15000,qmc,0.026979926973581314
1278412471,1000,10,2,0.3,15000,qmc,0.03523551672697067
4104543539,1000,10,2,0.3,15000,qmc,0.026759622618556023
1194623263,1000,10,2,0.3,15000,qmc,0.02215246483683586
2205739499,1000,10,2,0.3,15000,qmc,0.021389607340097427
2718843009,1000,50,2,0.3,15000,qmc,0.011413972824811935
1278412471,1000,50,2,0.3,15000,qmc,0.004341986496001482
4104543539,1000,50,2,0.3,15000,qmc,0.006935588084161282
1194623263,1000,50,2,0.3,15000,qmc,0.011494893580675125
2205739499,1000,50,2,0.3,15000,qmc,0.007680373732000589
2718843009,1000,100,2,0.3,15000,qmc,0.0019135093316435814
1278412471,1000,100,2,0.3,15000,qmc,0.0026434476021677256
4104543539,1000,100,2,0.3,15000,qmc,0.003268331289291382
1194623263,1000,100,2,0.3,15000,qmc,0.004084767308086157
2205739499,1000,100,2,0.3,15000,qmc,0.007812658324837685
2718843009,1000,200,2,0.3,15000,qmc,0.001538588898256421
1278412471,1000,200,2,0.3,15000,qmc,0.001564170466735959
4104543539,1000,200,2,0.3,15000,qmc,0.002604227513074875
1194623263,1000,200,2,0.3,15000,qmc,0.0011575187090784311
2205739499,1000,200,2,0.3,15000,qmc,0.0021349505987018347
2718843009,1000,300,2,0.3,15000,qmc,0.0008307693642564118
1278412471,1000,300,2,0.3,15000,qmc,0.0012178623583167791
4104543539,1000,300,2,0.3,15000,qmc,0.0011412928579375148
1194623263,1000,300,2,0.3,15000,qmc,0.0008592301164753735
2205739499,1000,300,2,0.3,15000,qmc,0.0013177314540371299
2718843009,1000,500,2,0.3,15000,qmc,0.001556274015456438
1278412471,1000,500,2,0.3,15000,qmc,0.0008413150208070874
4104543539,1000,500,2,0.3,15000,qmc,0.0011611521476879716
1194623263,1000,500,2,0.3,15000,qmc,0.000866102403961122
2205739499,1000,500,2,0.3,15000,qmc,0.0008468942251056433
2718843009,1000,750,2,0.3,15000,qmc,0.0008170020882971585
1278412471,1000,750,2,0.3,15000,qmc,0.00041079634684138
4104543539,1000,750,2,0.3,15000,qmc,0.0004955044714733958
1194623263,1000,750,2,0.3,15000,qmc,0.0004472960135899484
2205739499,1000,750,2,0.3,15000,qmc,0.0007336034323088825
2718843009,1000,1000,2,0.3,15000,qmc,0.0004116946365684271
1278412471,1000,1000,2,0.3,15000,qmc,0.0005808437126688659
4104543539,1000,1000,2,0.3,15000,qmc,0.000657348136883229
1194623263,1000,1000,2,0.3,15000,qmc,0.00045191709068603814
2205739499,1000,1000,2,0.3,15000,qmc,0.00047319073928520083
2718843009,1000,10,2,0.3,15000,orf,0.0686374306678772
1278412471,1000,10,2,0.3,15000,orf,0.18469619750976562
4104543539,1000,10,2,0.3,15000,orf,0.08539503067731857
1194623263,1000,10,2,0.3,15000,orf,0.0941462367773056
2205739499,1000,10,2,0.3,15000,orf,0.03707190230488777
2718843009,1000,50,2,0.3,15000,orf,0.013456114567816257
1278412471,1000,50,2,0.3,15000,orf,0.06653295457363129
4104543539,1000,50,2,0.3,15000,orf,0.0220609363168478
1194623263,1000,50,2,0.3,15000,orf,0.027423832565546036
2205739499,1000,50,2,0.3,15000,orf,0.012882892973721027
2718843009,1000,100,2,0.3,15000,orf,0.012489072047173977
1278412471,1000,100,2,0.3,15000,orf,0.03400016203522682
4104543539,1000,100,2,0.3,15000,orf,0.024329986423254013
1194623263,1000,100,2,0.3,15000,orf,0.024124275892972946
2205739499,1000,100,2,0.3,15000,orf,0.024515314027667046
2718843009,1000,200,2,0.3,15000,orf,0.0024042215663939714
1278412471,1000,200,2,0.3,15000,orf,0.0046612112782895565
4104543539,1000,200,2,0.3,15000,orf,0.010200100019574165
1194623263,1000,200,2,0.3,15000,orf,0.005945140030235052
2205739499,1000,200,2,0.3,15000,orf,0.014550559222698212
2718843009,1000,300,2,0.3,15000,orf,0.0035916739143431187
1278412471,1000,300,2,0.3,15000,orf,0.005686956923455
4104543539,1000,300,2,0.3,15000,orf,0.008257289417088032
1194623263,1000,300,2,0.3,15000,orf,0.0033081425353884697
2205739499,1000,300,2,0.3,15000,orf,0.007997718639671803
2718843009,1000,500,2,0.3,15000,orf,0.004719397518783808
1278412471,1000,500,2,0.3,15000,orf,0.004492028616368771
4104543539,1000,500,2,0.3,15000,orf,0.01240184810012579
1194623263,1000,500,2,0.3,15000,orf,0.0027778223156929016
2205739499,1000,500,2,0.3,15000,orf,0.0034512232523411512
2718843009,1000,750,2,0.3,15000,orf,0.0028402290772646666
1278412471,1000,750,2,0.3,15000,orf,0.004916327074170113
4104543539,1000,750,2,0.3,15000,orf,0.00621401472017169
1194623263,1000,750,2,0.3,15000,orf,0.006010877434164286
2205739499,1000,750,2,0.3,15000,orf,0.00489968154579401
2718843009,1000,1000,2,0.3,15000,orf,0.012250573374330997
1278412471,1000,1000,2,0.3,15000,orf,0.00708347512409091
4104543539,1000,1000,2,0.3,15000,orf,0.0019082942744717002
1194623263,1000,1000,2,0.3,15000,orf,0.005388706922531128
2205739499,1000,1000,2,0.3,15000,orf,0.0035416267346590757
2718843009,1000,10,2,0.3,15000,nys,7.774574623908848e-05
1278412471,1000,10,2,0.3,15000,nys,0.001052909530699253
4104543539,1000,10,2,0.3,15000,nys,0.00035773252602666616
1194623263,1000,10,2,0.3,15000,nys,0.00011183281458215788
2205739499,1000,10,2,0.3,15000,nys,0.0007698992267251015
2718843009,1000,50,2,0.3,15000,nys,0.00017377543554175645
1278412471,1000,50,2,0.3,15000,nys,7.606880535604432e-05
4104543539,1000,50,2,0.3,15000,nys,6.442318408517167e-05
1194623263,1000,50,2,0.3,15000,nys,8.8100518041756e-05
2205739499,1000,50,2,0.3,15000,nys,7.287790504051372e-05
2718843009,1000,100,2,0.3,15000,nys,0.0001012665597954765
1278412471,1000,100,2,0.3,15000,nys,8.162218000506982e-05
4104543539,1000,100,2,0.3,15000,nys,0.00019349866488482803
1194623263,1000,100,2,0.3,15000,nys,8.995715324999765e-05
2205739499,1000,100,2,0.3,15000,nys,0.00020551352645270526
2718843009,1000,200,2,0.3,15000,nys,0.0001210478731081821
1278412471,1000,200,2,0.3,15000,nys,8.153109229169786e-05
4104543539,1000,200,2,0.3,15000,nys,0.00011201456072740257
1194623263,1000,200,2,0.3,15000,nys,8.36237013572827e-05
2205739499,1000,200,2,0.3,15000,nys,8.665349741932005e-05
2718843009,1000,300,2,0.3,15000,nys,0.0002977784024551511
1278412471,1000,300,2,0.3,15000,nys,7.407383964164183e-05
4104543539,1000,300,2,0.3,15000,nys,0.0002893434721045196
1194623263,1000,300,2,0.3,15000,nys,7.319617725443095e-05
2205739499,1000,300,2,0.3,15000,nys,8.576089749112725e-05
2718843009,1000,500,2,0.3,15000,nys,7.58624664740637e-05
1278412471,1000,500,2,0.3,15000,nys,6.482621392933652e-05
4104543539,1000,500,2,0.3,15000,nys,0.00019595348567236215
1194623263,1000,500,2,0.3,15000,nys,0.00015594172873534262
2205739499,1000,500,2,0.3,15000,nys,7.165060378611088e-05
2718843009,1000,750,2,0.3,15000,nys,0.0001162083208328113
1278412471,1000,750,2,0.3,15000,nys,7.18630471965298e-05
4104543539,1000,750,2,0.3,15000,nys,9.056918497662991e-05
1194623263,1000,750,2,0.3,15000,nys,6.731623579980806e-05
2205739499,1000,750,2,0.3,15000,nys,0.00013354745169635862
2718843009,1000,1000,2,0.3,15000,nys,6.509765808004886e-05
1278412471,1000,1000,2,0.3,15000,nys,7.708914199611172e-05
4104543539,1000,1000,2,0.3,15000,nys,6.022278103046119e-05
1194623263,1000,1000,2,0.3,15000,nys,7.875602022977546e-05
2205739499,1000,1000,2,0.3,15000,nys,6.68291249894537e-05
2718843009,1000,10,2,0.3,15000,srf,0.005520067177712917
1278412471,1000,10,2,0.3,15000,srf,0.005554329603910446
4104543539,1000,10,2,0.3,15000,srf,0.005507573019713163
1194623263,1000,10,2,0.3,15000,srf,0.016802186146378517
2205739499,1000,10,2,0.3,15000,srf,0.005549284163862467
2718843009,1000,50,2,0.3,15000,srf,0.000730572734028101
1278412471,1000,50,2,0.3,15000,srf,0.0007447071839123964
4104543539,1000,50,2,0.3,15000,srf,0.0006898236460983753
1194623263,1000,50,2,0.3,15000,srf,0.0006428692722693086
2205739499,1000,50,2,0.3,15000,srf,0.0008571988437324762
2718843009,1000,100,2,0.3,15000,srf,0.0003591480490285903
1278412471,1000,100,2,0.3,15000,srf,0.00039805241976864636
4104543539,1000,100,2,0.3,15000,srf,0.000335188873577863
1194623263,1000,100,2,0.3,15000,srf,0.0004064836830366403
2205739499,1000,100,2,0.3,15000,srf,0.00044864043593406677
2718843009,1000,200,2,0.3,15000,srf,9.458880231250077e-05
1278412471,1000,200,2,0.3,15000,srf,0.00012209448323119432
4104543539,1000,200,2,0.3,15000,srf,8.848247671267018e-05
1194623263,1000,200,2,0.3,15000,srf,7.274696690728888e-05
2205739499,1000,200,2,0.3,15000,srf,0.00011014855408575386
2718843009,1000,300,2,0.3,15000,srf,6.53558163321577e-05
1278412471,1000,300,2,0.3,15000,srf,6.259150541154668e-05
4104543539,1000,300,2,0.3,15000,srf,6.63392711430788e-05
1194623263,1000,300,2,0.3,15000,srf,7.539074431406334e-05
2205739499,1000,300,2,0.3,15000,srf,6.061187741579488e-05
2718843009,1000,500,2,0.3,15000,srf,3.281055251136422e-05
1278412471,1000,500,2,0.3,15000,srf,3.030010702786967e-05
4104543539,1000,500,2,0.3,15000,srf,2.3578957552672364e-05
1194623263,1000,500,2,0.3,15000,srf,3.085085700149648e-05
2205739499,1000,500,2,0.3,15000,srf,2.654310992511455e-05
2718843009,1000,750,2,0.3,15000,srf,1.7051435861503705e-05
1278412471,1000,750,2,0.3,15000,srf,1.8997572624357417e-05
4104543539,1000,750,2,0.3,15000,srf,1.6246642189798877e-05
1194623263,1000,750,2,0.3,15000,srf,1.5940109733492136e-05
2205739499,1000,750,2,0.3,15000,srf,1.5793852071510628e-05
2718843009,1000,1000,2,0.3,15000,srf,1.9976727344328538e-05
1278412471,1000,1000,2,0.3,15000,srf,1.7292803022428416e-05
4104543539,1000,1000,2,0.3,15000,srf,2.013755147345364e-05
1194623263,1000,1000,2,0.3,15000,srf,2.052391937468201e-05
2205739499,1000,1000,2,0.3,15000,srf,1.652570063015446e-05
2718843009,1000,10,2,0.3,15000,msrf,0.005588802043348551
1278412471,1000,10,2,0.3,15000,msrf,0.0055919913575053215
4104543539,1000,10,2,0.3,15000,msrf,0.0055509451776742935
1194623263,1000,10,2,0.3,15000,msrf,0.005622110329568386
2205739499,1000,10,2,0.3,15000,msrf,0.005582763813436031
2718843009,1000,50,2,0.3,15000,msrf,0.0007404184434562922
1278412471,1000,50,2,0.3,15000,msrf,0.000794382591266185
4104543539,1000,50,2,0.3,15000,msrf,0.0007393205305561423
1194623263,1000,50,2,0.3,15000,msrf,0.0007657369133085012
2205739499,1000,50,2,0.3,15000,msrf,0.0008573122904635966
2718843009,1000,100,2,0.3,15000,msrf,0.00021581318287644535
1278412471,1000,100,2,0.3,15000,msrf,0.000212776503758505
4104543539,1000,100,2,0.3,15000,msrf,0.0002160777512472123
1194623263,1000,100,2,0.3,15000,msrf,0.0002758838818408549
2205739499,1000,100,2,0.3,15000,msrf,0.0003638243942987174
2718843009,1000,200,2,0.3,15000,msrf,8.554533997084945e-05
1278412471,1000,200,2,0.3,15000,msrf,8.063529094215482e-05
4104543539,1000,200,2,0.3,15000,msrf,8.118365076370537e-05
1194623263,1000,200,2,0.3,15000,msrf,8.494718349538743e-05
2205739499,1000,200,2,0.3,15000,msrf,8.356018952326849e-05
2718843009,1000,300,2,0.3,15000,msrf,6.248755380511284e-05
1278412471,1000,300,2,0.3,15000,msrf,6.470614607678726e-05
4104543539,1000,300,2,0.3,15000,msrf,5.8739886299008504e-05
1194623263,1000,300,2,0.3,15000,msrf,5.517872341442853e-05
2205739499,1000,300,2,0.3,15000,msrf,6.16257093497552e-05
2718843009,1000,500,2,0.3,15000,msrf,2.815515108522959e-05
1278412471,1000,500,2,0.3,15000,msrf,3.296046270406805e-05
4104543539,1000,500,2,0.3,15000,msrf,2.4858061806298792e-05
1194623263,1000,500,2,0.3,15000,msrf,2.9443219318636693e-05
2205739499,1000,500,2,0.3,15000,msrf,2.2946369426790625e-05
2718843009,1000,750,2,0.3,15000,msrf,1.6157084246515296e-05
1278412471,1000,750,2,0.3,15000,msrf,1.7335551092401147e-05
4104543539,1000,750,2,0.3,15000,msrf,1.7937096345121972e-05
1194623263,1000,750,2,0.3,15000,msrf,1.921306102303788e-05
2205739499,1000,750,2,0.3,15000,msrf,1.6312884326907806e-05
2718843009,1000,1000,2,0.3,15000,msrf,1.4385389476956334e-05
1278412471,1000,1000,2,0.3,15000,msrf,1.601541953277774e-05
4104543539,1000,1000,2,0.3,15000,msrf,1.586142388987355e-05
1194623263,1000,1000,2,0.3,15000,msrf,1.4380203538166825e-05
2205739499,1000,1000,2,0.3,15000,msrf,1.4160621503833681e-05
