seed,N,R,d,lr,epochs,method,error
2718843009,1000,100,2,0.1,100,mc,0.01929832249879837
1278412471,1000,100,2,0.1,100,mc,0.026548786088824272
4104543539,1000,100,2,0.1,100,mc,0.01616019941866398
1194623263,1000,100,2,0.1,100,mc,0.023824216797947884
2205739499,1000,100,2,0.1,100,mc,0.011921482160687447
2718843009,1000,100,2,0.1,500,mc,0.01929832249879837
1278412471,1000,100,2,0.1,500,mc,0.026548786088824272
4104543539,1000,100,2,0.1,500,mc,0.01616019941866398
1194623263,1000,100,2,0.1,500,mc,0.023824216797947884
2205739499,1000,100,2,0.1,500,mc,0.011921482160687447
2718843009,1000,100,2,0.1,1000,mc,0.01929832249879837
1278412471,1000,100,2,0.1,1000,mc,0.026548786088824272
4104543539,1000,100,2,0.1,1000,mc,0.01616019941866398
1194623263,1000,100,2,0.1,1000,mc,0.023824216797947884
2205739499,1000,100,2,0.1,1000,mc,0.011921482160687447
2718843009,1000,100,2,0.1,2500,mc,0.01929832249879837
1278412471,1000,100,2,0.1,2500,mc,0.026548786088824272
4104543539,1000,100,2,0.1,2500,mc,0.01616019941866398
1194623263,1000,100,2,0.1,2500,mc,0.023824216797947884
2205739499,1000,100,2,0.1,2500,mc,0.011921482160687447
2718843009,1000,100,2,0.1,5000,mc,0.01929832249879837
1278412471,1000,100,2,0.1,5000,mc,0.026548786088824272
4104543539,1000,100,2,0.1,5000,mc,0.01616019941866398
1194623263,1000,100,2,0.1,5000,mc,0.023824216797947884
2205739499,1000,100,2,0.1,5000,mc,0.011921482160687447
2718843009,1000,100,2,0.1,100,qmc,0.0019135093316435814
1278412471,1000,100,2,0.1,100,qmc,0.0026434476021677256
4104543539,1000,100,2,0.1,100,qmc,0.003268331289291382
1194623263,1000,100,2,0.1,100,qmc,0.004084767308086157
2205739499,1000,100,2,0.1,100,qmc,0.007812658324837685
2718843009,1000,100,2,0.1,500,qmc,0.0019135093316435814
1278412471,1000,100,2,0.1,500,qmc,0.0026434476021677256
4104543539,1000,100,2,0.1,500,qmc,0.003268331289291382
1194623263,1000,100,2,0.1,500,qmc,0.004084767308086157
2205739499,1000,100,2,0.1,500,qmc,0.007812658324837685
2718843009,1000,100,2,0.1,1000,qmc,0.0019135093316435814
1278412471,1000,100,2,0.1,1000,qmc,0.0026434476021677256
4104543539,1000,100,2,0.1,1000,qmc,0.003268331289291382
1194623263,1000,100,2,0.1,1000,qmc,0.004084767308086157
2205739499,1000,100,2,0.1,1000,qmc,0.007812658324837685
2718843009,1000,100,2,0.1,2500,qmc,0.0019135093316435814
1278412471,1000,100,2,0.1,2500,qmc,0.0026434476021677256
4104543539,1000,100,2,0.1,2500,qmc,0.003268331289291382
1194623263,1000,100,2,0.1,2500,qmc,0.004084767308086157
2205739499,1000,100,2,0.1,2500,qmc,0.007812658324837685
2718843009,1000,100,2,0.1,5000,qmc,0.0019135093316435814
1278412471,1000,100,2,0.1,5000,qmc,0.0026434476021677256
4104543539,1000,100,2,0.1,5000,qmc,0.003268331289291382
1194623263,1000,100,2,0.1,5000,qmc,0.004084767308086157
2205739499,1000,100,2,0.1,5000,qmc,0.007812658324837685
2718843009,1000,100,2,0.1,100,orf,0.01373149361461401
1278412471,1000,100,2,0.1,100,orf,0.034373246133327484
