model,mse,mae,cal,z,nlpd
svgp,0.036577146033197526,0.1396016834371182,0.956000030040741,0.0007334279918177897,3058.8789425291197
rff_rbf,0.01789145875767289,0.09600424037585469,0.2550000250339508,-0.0017808950532586857,21725.104036200257
rff,1.0911216583387808,0.7178547076545446,0.8840000629425049,-0.03573038150519025,1162.774920308411
deep_rff,0.019592282141581707,0.08970879269775986,0.26200002431869507,0.000156356512387218,32961.11648373258
qrff,0.027745772644086533,0.12249479439283655,1.0,-0.00045304999618410154,326.0357390739107
srf,0.014913458968322236,0.0799497561569273,0.2540000081062317,-0.0001849640969195807,23123.634781056913
mix,0.01685399080499542,0.0912437462864162,0.906000018119812,0.00045571768660915236,58320.45781980228
deep_mix,0.00896074657342709,0.0645351323421341,0.6380000114440918,-0.0015925561288651136,17451.785093437367
svgp,0.044921755130415866,0.15068752502484917,0.9470000267028809,-0.00015773418914323333,4684.533671960634
rff_rbf,0.01661757437239681,0.09296417065717223,0.29100000858306885,0.0017071971058194215,20960.16668012568
rff,0.02827289557941155,0.11908564642078213,1.0,-0.0008596042545491672,326.7528897301472
deep_rff,0.015527645860990872,0.08956671687196244,0.22500000894069672,-0.0001561109983998098,32670.48258469876
qrff,0.0333368697036968,0.12967676393401717,1.0,0.00033455154231973327,331.23388234095046
srf,0.0801263896594453,0.20064703692689345,0.12600000202655792,-0.002636225706882244,164550.01714631706
mix,0.018333270204708946,0.09385178712891963,0.9080000519752502,0.0005497270169567621,56667.75834862218
deep_mix,0.008504598437016089,0.06246331353695835,0.6680000424385071,-0.00022140164064811637,16267.216922452802
svgp,0.04104783715468452,0.1413746615961661,0.9510000348091125,0.002590583159370641,3391.3811523721547
rff_rbf,0.023821715149682093,0.0928909331359081,0.2639999985694885,-0.003900896004006231,19121.876682494487
rff,0.023147088525456754,0.10915266422302178,1.0,0.0012533409999256576,323.26419769965116
deep_rff,0.01584249622182113,0.08591685202767683,0.26200002431869507,0.0001376792722735349,29682.957216230716
qrff,0.026137701165979712,0.11705876687353273,1.0,0.0015185834798497144,326.2731032286142
srf,0.021759401060428896,0.07240114714585384,0.30900001525878906,-0.0033831153434606244,21188.146273221293
mix,0.016784235630148386,0.08925120361484667,0.9150000214576721,0.0011489533663722783,56918.95520355081
deep_mix,0.01040437409600397,0.06311334233985773,0.6830000281333923,-0.0007826058348364638,18475.574370614537
svgp,0.03208967577249067,0.12737427095505094,0.9660000205039978,0.0005489885996998827,2007.0874916478488
rff_rbf,0.030935900893773315,0.09511873458733593,0.2880000174045563,-0.004290166660394538,21389.04675476426
rff,0.024837918139030715,0.11651927701356789,1.0,-0.0008222472121948987,325.1582111139537
deep_rff,0.01872707365966666,0.094378966011596,0.2540000081062317,-0.002803260891908727,39458.00935504414
qrff,2.0609101852974483,1.0017865855481605,0.7950000166893005,-0.03103382617410919,1707.821304236594
srf,0.013114921086744303,0.07575599826158988,0.30400002002716064,-0.0031942441926441417,21937.55472787532
mix,0.017353239545128303,0.09293809156515198,0.9020000696182251,-0.0012315866889466643,58646.40143604892
deep_mix,0.009209011593049148,0.062047716550183894,0.6470000147819519,-0.0011347303068583723,16360.53655336446
