model,mse,mae,cal,z
svgp,0.43316654954414785,0.513143336671421,0.9312500357627869,-0.022107994962631994
rff_rbf,0.5494158964954651,0.5855739205863095,0.5250000357627869,-0.022377398776048177
rff,0.7347805259628828,0.5846013275454379,0.5687500238418579,-0.028634360015864543
qrff,0.4769368984006082,0.4653025367024734,0.675000011920929,-0.01592306524884329
srf,0.5774096242802483,0.5552480558637817,0.643750011920929,-0.034936550895706166
mix,0.34044488445384247,0.39549630117432216,0.90625,-0.01204423885662817
svgp,0.3268776402991537,0.4524740713109179,0.9750000238418579,-0.00539860456753917
rff_rbf,0.6099808423410024,0.6266876640037827,0.46875,0.014111821836202862
rff,0.5745520393838744,0.5012322219499487,0.643750011920929,-0.005407231229455945
qrff,0.4494980075579825,0.43933104331483136,0.675000011920929,0.008497778325900983
srf,0.6295284442044283,0.5870290203272871,0.6000000238418579,0.012010478112928847
mix,0.3136487749350589,0.3738101443082209,0.9437500238418579,0.00623467699783975
svgp,0.35175276226518504,0.4700756187078847,0.9625000357627869,-0.0017608650223765489
rff_rbf,0.550274374049622,0.5765690497107756,0.5375000238418579,0.007190815027122974
rff,0.7952746095162152,0.5970376788317883,0.574999988079071,0.014063786504156501
qrff,0.6120726302080153,0.5536706096966413,0.612500011920929,-0.0036921162789378516
srf,0.48042039299525263,0.5248922165133191,0.625,-0.00366327520441343
mix,0.34666376077565103,0.3887937185741711,0.887499988079071,0.0038645174132132284
svgp,0.3781217688295462,0.48204336684495364,0.956250011920929,-0.0026754218447166585
rff_rbf,0.7148340766750727,0.6796419050119861,0.45625001192092896,-0.015309604186731836
rff,0.6001876072578546,0.5079267623798057,0.6312500238418579,0.01338866971147118
qrff,0.3855223823837601,0.4003210308840977,0.731249988079071,2.1030044635418632e-05
srf,0.5660034206558546,0.5616469586261447,0.65625,0.0022291207171736996
mix,0.37896853094639976,0.3999748714050846,0.875,-0.005924576947315086
svgp,0.4006080325644954,0.502564628820322,0.9375,0.014528838098487262
rff_rbf,0.6066263364467628,0.6033343959610988,0.5062500238418579,0.012412445915212027
rff,0.5778240180989052,0.536930924847548,0.606249988079071,0.013225997986232125
qrff,0.5866961646990884,0.5657298035974683,0.6312500238418579,0.0018025840543285114
srf,0.49453557328953945,0.5406259881062851,0.6312500238418579,0.0070266846660176924
mix,0.3721456580179232,0.44101166428767424,0.887499988079071,0.007937353217101418
svgp,0.3621865191051141,0.48118302425207954,0.956250011920929,0.01096930085721976
rff_rbf,0.6635432692011447,0.6560241622485317,0.4749999940395355,0.003675625610027926
rff,0.630467572590231,0.558177269184197,0.574999988079071,0.007055352764949785
qrff,0.35502508969794166,0.4137162054322405,0.7562500238418579,0.0013147398052225133
srf,0.6223179116134038,0.5801635434667828,0.625,0.018171692267928075
mix,0.33945190562062266,0.41702558851981686,0.887499988079071,0.01121636059371811
svgp,0.5261347954769612,0.5580442879937257,0.887499988079071,-0.00687104577138474
rff_rbf,0.7732852051905903,0.6889854022111503,0.40625,-0.0054242144416887395
rff,0.8074694068304352,0.629520269128747,0.5375000238418579,-0.009052518890403814
qrff,0.557525050071381,0.49992182662064827,0.65625,-0.00454823954452348
srf,0.7217746356948405,0.5967493175600244,0.637499988079071,-0.013716925395400004
mix,0.512908104703163,0.47349282441782803,0.84375,-0.004288781518504874
svgp,0.44715094949250833,0.5326838861173967,0.9375,0.009670397099773236
rff_rbf,0.6089124737426072,0.6334651707820982,0.48125001788139343,0.0009755131311998428
rff,0.67447068176816,0.5720213531003896,0.574999988079071,0.004078472925635462
qrff,0.49145464780584186,0.48300914007338325,0.6500000357627869,0.0013996995136886662
srf,0.47545535453893795,0.4927447453395427,0.706250011920929,0.011094155750088567
mix,0.37288501437335625,0.4402113994451131,0.9000000357627869,0.015544075214624316
svgp,0.483821050207337,0.5363090526216979,0.9312500357627869,-0.0050449785744171305
rff_rbf,0.722386204789164,0.6579071126329067,0.48750001192092896,-0.003092066044921517
rff,0.8195659562316454,0.6485340948736242,0.53125,-0.0017129649221632457
qrff,0.5741208009230759,0.5423155882760605,0.6000000238418579,0.0029156628687727055
srf,0.6892751320218233,0.6022677167609842,0.5875000357627869,0.002910543055193729
mix,0.44431524860995464,0.4660174135989703,0.8687500357627869,0.002866798185933654
svgp,0.37819886211479764,0.4684115074550018,0.96875,-0.010442544927706023
rff_rbf,0.7467298333143786,0.6825614983376245,0.45000001788139343,-0.002929638257165459
rff,0.8444173090305477,0.6337595170120205,0.5625,-0.002871293404407278
qrff,0.49053842353196375,0.4593469512159876,0.706250011920929,-0.002313253937735343
srf,0.5791409486047009,0.5502284734952811,0.637499988079071,-0.010333692916097197
mix,0.3334177256925997,0.40520464749470425,0.9437500238418579,-0.0029508960847003693
