model,mse,mae,cal,z,nlpd
svgp,0.2941922617619661,0.4246028520538423,0.9685534238815308,-0.0028702297681961,2002.5256271074104
rff_rbf,0.6613099040973429,0.6782379063900097,0.3962264060974121,-0.0148383351925488,771.8731000946915
rff,0.7317352653997028,0.5943678535430741,0.5723270177841187,0.0022250254746729,758.9368971074608
qrff,0.3553395598361434,0.3984078142214237,0.7232704162597656,-0.0152681940913496,294.04194413491257
srf,0.4341249786396248,0.496588278652494,0.1446540802717209,-0.0059233286703343,12477.045893091985
mix,0.2897832316076014,0.3942756577785449,0.9308176040649414,-0.0090893688341616,1775.5976847969246
mmd,0.2555527008690956,0.3340905125137761,0.949685513973236,-0.002176736060772,154128.4251861121
svgp,0.3802825163174276,0.4771797591802155,0.955974817276001,-0.0027307913238088,1936.149902139136
rff_rbf,0.690794730669449,0.6383401522512475,0.5408805012702942,-0.0051633102760009,777.5443840384822
rff,0.7387251529040747,0.5885531151620694,0.6100628972053528,-0.0073480927407099,766.2401566731094
qrff,0.3987148601357152,0.437459745486038,0.6918238997459412,-0.0030194307478364,331.31720132639214
srf,0.6164121644096932,0.5832105844469627,0.125786155462265,0.0150694126416472,17792.88971159576
mix,0.3342960451369525,0.4138029789555657,0.8867924213409424,-0.00516168922767,1855.4660302112768
mmd,0.4062037631180084,0.4164144291189917,0.911949634552002,-8.58016695703551e-05,163701.23185303208
svgp,0.380509887772568,0.4673524863059342,0.949685513973236,0.0094868232110913,3141.806878835457
rff_rbf,0.5340025035066732,0.5528926256170617,0.5408805012702942,0.0104208211595332,616.5859602425805
rff,0.6889621208388208,0.5815958232308805,0.5723270177841187,0.0141755658164896,711.8112085990085
qrff,0.4554680490647815,0.4661320517891777,0.704402506351471,0.0145690256769844,383.4795467529909
srf,0.553946932921494,0.5356276147733801,0.1698113083839416,0.0150415285247345,15963.290863726275
mix,0.3410233185066982,0.4171384344921507,0.8993710279464722,0.0090679050896265,1691.0622998000906
mmd,0.3600392618385498,0.4014526187954449,0.9182389378547668,0.0107754447271009,178254.18098435324
svgp,0.380853587894293,0.4729568099687885,0.9308176040649414,-0.0076979915705721,1976.233500177044
rff_rbf,0.7219796335487207,0.6640882559210164,0.4654088020324707,-0.0129845517749564,846.2112079552297
rff,0.7696219238251681,0.5870173741382966,0.6163522005081177,-0.0074647859587417,800.1628473211945
qrff,0.5227533440218495,0.4793625551371933,0.6477987170219421,-0.0128571596139727,438.2591413231372
srf,0.4950668669980513,0.5368785546125817,0.1132075414061546,-0.0092307967394564,14247.995765452064
mix,0.321649949268879,0.3932311384667121,0.8867924213409424,-0.0089970166722571,1607.8750759364946
mmd,0.3929008977218445,0.4191545566904012,0.9433962106704712,-0.007738589158363,164924.49706034354
svgp,0.43171060800002,0.5075054486527151,0.949685513973236,-0.0088099747209451,2435.105938427841
rff_rbf,0.6058720269723442,0.5910796145749779,0.5283018946647644,-0.0124454958400122,684.3501613799015
rff,0.8569673810121318,0.6544584759280597,0.4968553185462951,-0.0136830542091847,893.9806981204734
qrff,0.6320276888315239,0.5574690629119612,0.6289308071136475,-0.0131567303157683,533.8359805202165
srf,0.6609553679198646,0.6278030455574739,0.1132075414061546,-0.0146147884179885,19117.750794312717
mix,0.4039070072936415,0.4757322302738907,0.8930817246437073,-0.0094853808140154,2225.266126089912
mmd,0.4884165805672597,0.5087596037459091,0.8805031180381775,-0.0084651342632048,193016.0712363253
svgp,0.4578841739201365,0.5273312047160215,0.9056603312492372,0.0073886971173194,3153.804329864657
rff_rbf,0.7794639470326238,0.698862403725077,0.4150943160057068,-0.0032225463973318,918.3057883005736
rff,0.6417176368762819,0.5632325442101246,0.6037735939025879,-0.0011244689919906,663.6266173435482
qrff,0.5458923641647714,0.4862077359681938,0.6415094137191772,0.0058437983340807,460.35506731188593
srf,0.5697157700815472,0.5667092761967265,0.1572327017784118,0.0273585564642883,16448.869462813585
mix,0.4393738826984389,0.4763136704993286,0.8679245114326477,0.00694628520551,2129.3652727982203
mmd,0.3796990406852605,0.4061179727774746,0.9056603312492372,0.007004506267774,171612.15986933542
svgp,0.3822423581383489,0.4785256074207928,0.955974817276001,-0.002057488218004,2232.918380084276
rff_rbf,0.6434512412495478,0.5812625691585206,0.5660377144813538,0.0089802068209785,747.8431706811504
rff,0.7198845104816726,0.6193411589846823,0.5220125317573547,-0.0084252857942897,745.0886483615213
qrff,0.4798620615928195,0.4803050784616717,0.6729559302330017,-0.001746839566893,401.7675068910737
